City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
255,Yilan,TW,24.757,121.753,64.9,99,100,6.2,overcast clouds
256,Bambanglipuro,ID,-7.95,110.2833,76.15,88,100,1.95,overcast clouds
257,Dutse,NG,11.7594,9.3392,81.93,18,60,7.76,broken clouds
258,Constitucion,CL,-35.3333,-72.4167,66.54,65,73,8.28,broken clouds
259,Alofi,NU,-19.0595,-169.9187,76.89,94,74,4.61,broken clouds
260,Pytalovo,RU,57.0679,27.9138,31.01,95,99,2.53,overcast clouds
261,Kruisfontein,ZA,-34.0033,24.7314,70.97,79,42,16.04,scattered clouds
262,Lebu,CL,-37.6167,-73.65,65.48,69,95,7.96,overcast clouds
263,Poyarkovo,RU,49.6,128.6833,-23.26,98,95,7.34,overcast clouds
264,Amberley,US,39.2048,-84.428,58.82,69,0,10.36,clear sky
265,Port Hawkesbury,CA,45.6169,-61.3485,37.18,95,100,18.99,mist
266,Saint-Augustin,CA,51.226,-58.6502,30.78,72,100,22.77,overcast clouds
267,Yaya,RU,56.206,86.44,9.93,95,100,10.09,light snow
268,Ugoofaaru,MV,5.6667,73.0,79.9,69,0,18.48,clear sky
269,Poum,NC,-20.2333,164.0167,79.21,75,68,11.97,broken clouds
270,Nioro,GM,13.35,-15.75,97.14,9,53,11.34,broken clouds
271,Itapirapua,BR,-15.8233,-50.6133,87.39,57,25,1.61,scattered clouds
272,Touros,BR,-5.1989,-35.4608,85.6,60,37,13.98,scattered clouds
273,Bairiki,KI,1.3292,172.9752,80.6,83,75,8.05,broken clouds
274,Belmonte,BR,-15.8631,-38.8828,82.76,65,16,8.14,few clouds
275,Okhotsk,RU,59.3833,143.3,-7.73,80,100,13.58,overcast clouds
276,Satipo,PE,-11.2522,-74.6386,69.94,99,100,0.56,overcast clouds
277,Saint George,US,37.1041,-113.5841,34.43,75,0,3.44,clear sky
278,Itau De Minas,BR,-20.7394,-46.7522,83.08,57,100,1.19,overcast clouds
279,Nishihara,JP,26.1842,127.7558,60.08,65,20,11.5,few clouds
280,Verkhnevilyuysk,RU,63.4453,120.3167,-36.13,98,100,3.53,overcast clouds
281,Karratha,AU,-20.7377,116.8463,81.18,73,100,1.83,overcast clouds
282,Batagay-Alyta,RU,67.8006,130.4114,-30.69,94,36,5.28,scattered clouds
283,Meleuz,RU,52.9667,55.9167,-2.76,79,4,2.04,clear sky
284,Dalbandin,PK,28.8947,64.4101,44.89,72,91,8.99,overcast clouds
285,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,80,100,19.57,light snow
286,Nanortalik,GL,60.1432,-45.2371,28.36,96,100,4.18,snow
287,Longjiang,CN,47.3303,123.1836,-11.18,91,100,6.98,overcast clouds
288,Manono,CD,-7.3,27.4167,71.55,93,94,3.94,overcast clouds
289,Lorengau,PG,-2.0226,147.2712,79.99,82,100,10.78,overcast clouds
290,Nome,US,64.5011,-165.4064,-16.53,76,0,3.44,clear sky
291,Panguna,PG,-6.3164,155.4848,70.02,94,100,3.49,overcast clouds
292,Skelleftea,SE,64.7507,20.9528,30.56,100,100,4.61,overcast clouds
293,Conde,BR,-7.2597,-34.9075,85.46,66,75,13.8,broken clouds
294,Padang,ID,-0.9492,100.3543,77.05,88,100,4.32,overcast clouds
295,Salamiyah,SY,35.0113,37.0532,53.42,60,0,7.61,clear sky
296,Teguise,ES,29.0605,-13.564,62.82,55,75,20.71,broken clouds
297,Port Lincoln,AU,-34.7333,135.8667,58.89,70,100,13.98,overcast clouds
298,Aklavik,CA,68.2191,-135.0107,-11.2,77,0,4.61,clear sky
299,Jalu,LY,29.0331,21.5482,63.19,22,0,8.46,clear sky
300,Katsuura,JP,35.1333,140.3,45.99,90,100,13.53,overcast clouds
301,Zhigansk,RU,66.7697,123.3711,-47.27,100,57,2.46,broken clouds
302,Honiara,SB,-9.4333,159.95,78.03,87,99,2.86,overcast clouds
303,Mirabad,AF,30.4362,61.8383,45.91,69,26,3.27,scattered clouds
304,Alice Town,BS,25.7167,-79.3,75.7,61,0,11.9,clear sky
305,Melo,UY,-32.3667,-54.1833,93.34,30,73,9.17,broken clouds
306,Kokstad,ZA,-30.5472,29.4241,61.61,98,74,2.06,heavy intensity rain
307,Mahibadhoo,MV,3.7833,72.9667,80.91,70,9,19.62,clear sky
308,Bilibino,RU,68.0546,166.4372,-31.76,98,100,3.49,overcast clouds
309,Ndele,CF,8.4109,20.6473,84.45,16,37,5.32,scattered clouds
310,Bugiri,UG,0.5714,33.7417,70.57,68,74,8.93,broken clouds
311,Coria,ES,39.9879,-6.5377,50.45,85,89,10.16,overcast clouds
312,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,83.1,71,62,5.1,broken clouds
313,Hasaki,JP,35.7333,140.8333,43.2,81,100,12.28,overcast clouds
314,Vanavara,RU,60.34,102.2797,-34.83,95,94,7.65,overcast clouds
315,Batemans Bay,AU,-35.7167,150.1833,62.1,86,97,5.91,overcast clouds
316,Coos Bay,US,43.3665,-124.2179,37.92,100,20,8.05,few clouds
317,Harper,LR,4.375,-7.7169,83.48,70,58,11.03,broken clouds
318,Hearst,CA,49.6835,-83.6665,7.05,93,100,6.51,overcast clouds
319,Teguldet,RU,57.3064,88.1667,7.47,95,100,6.93,light snow
320,Riyadh,SA,24.6877,46.7219,57.34,45,0,7.7,clear sky
321,Neubrandenburg,DE,53.5667,13.2667,34.57,82,53,10.71,broken clouds
322,Sheltozero,RU,61.3667,35.3667,34.75,81,99,23.42,overcast clouds
323,Yulara,AU,-25.2406,130.9889,79.77,26,61,15.59,broken clouds
324,Gedinne,BE,49.9804,4.9367,34.02,89,100,3.36,overcast clouds
325,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,70,23,2.95,few clouds
326,Acapulco,MX,16.8634,-99.8901,78.62,65,100,6.91,overcast clouds
327,Bagdarin,RU,54.4333,113.6,-20.72,91,100,1.99,overcast clouds
328,Prokopyevsk,RU,53.9059,86.719,7.77,71,100,11.34,light snow
329,Jasper,US,37.2001,-94.3502,35.46,76,100,17.27,overcast clouds
330,Lata,PT,40.1629,-8.3327,53.08,90,99,10.8,overcast clouds
331,Sola,VU,-13.8833,167.55,78.53,86,100,23.31,moderate rain
332,Bakchar,RU,57.0186,82.0711,9.28,94,99,7.16,overcast clouds
333,Ichinoseki,JP,38.9167,141.1333,32.77,81,81,1.21,light snow
334,Trois-Rivieres,CA,46.3501,-72.5491,30.13,66,100,9.22,overcast clouds
335,Kirakira,SB,-10.4544,161.9205,79.41,85,100,9.01,overcast clouds
336,Oshakati,NA,-17.7833,15.6833,78.37,56,100,7.92,overcast clouds
337,Shizunai,JP,42.3339,142.3669,29.32,94,100,19.51,light snow
338,Chabahar,IR,25.2919,60.643,66.85,58,21,12.26,few clouds
339,Najran,SA,17.4924,44.1277,61.45,38,0,5.06,clear sky
340,Havoysund,NO,70.9963,24.6622,32.23,80,11,13.33,few clouds
341,Sao Filipe,CV,14.8961,-24.4956,77.13,62,9,12.17,clear sky
342,Oranjestad,AW,12.524,-70.027,83.91,75,75,21.85,broken clouds
343,Cancun,MX,21.1743,-86.8466,84.13,70,40,23.02,light rain
